rank,country_code,name,source_country_name,gdp_2025_usd_billions,series_code,latest_actual_period,country_update_date,publication_date
53,IRQ,Iraq,Iraq,264.167,IRQ.NGDPD.A,2025,2025-09-10T00:00:00,2026-04-14T13:00:00Z
54,NZL,New Zealand,New Zealand,258.832,NZL.NGDPD.A,2025,2025-09-15T00:00:00,2026-04-14T13:00:00Z
55,HUN,Hungary,Hungary,246.891,HUN.NGDPD.A,2025,2025-09-11T00:00:00,2026-04-14T13:00:00Z
56,QAT,Qatar,Qatar,221.229,QAT.NGDPD.A,2023,2025-09-22T00:00:00,2026-04-14T13:00:00Z
57,UKR,Ukraine,Ukraine,212.927,UKR.NGDPD.A,2024,2025-09-15T00:00:00,2026-04-14T13:00:00Z
58,MAR,Morocco,Morocco,182.587,MAR.NGDPD.A,2024,2025-09-11T00:00:00,2026-04-14T13:00:00Z
59,KWT,Kuwait,Kuwait,157.835,KWT.NGDPD.A,2024,2025-09-10T00:00:00,2026-04-14T13:00:00Z
60,SVK,Slovakia,Slovak Republic,154.442,SVK.NGDPD.A,2025,2025-09-23T00:00:00,2026-04-14T13:00:00Z
61,UZB,Uzbekistan,"Uzbekistan, Republic of",147.069,UZB.NGDPD.A,2024,2025-09-18T00:00:00,2026-04-14T13:00:00Z
62,AGO,Angola,Angola,141.728,AGO.NGDPD.A,2024,2025-09-09T00:00:00,2026-04-14T13:00:00Z
63,KEN,Kenya,Kenya,136.455,KEN.NGDPD.A,2024,2025-09-22T00:00:00,2026-04-14T13:00:00Z
64,BGR,Bulgaria,Bulgaria,131.024,BGR.NGDPD.A,2025,2025-09-23T00:00:00,2026-04-14T13:00:00Z
65,ECU,Ecuador,Ecuador,130.321,ECU.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
66,DOM,Dominican Republic,Dominican Republic,127.895,DOM.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
67,GTM,Guatemala,Guatemala,121.113,GTM.NGDPD.A,2024,2025-09-18T00:00:00,2026-04-14T13:00:00Z
68,GHA,Ghana,Ghana,114.708,GHA.NGDPD.A,2024,2025-09-26T00:00:00,2026-04-14T13:00:00Z
69,ETH,Ethiopia,"Ethiopia, The Federal Democratic Republic of",109.109,ETH.NGDPD.A,FY2024/25,2025-09-25T00:00:00,2026-04-14T13:00:00Z
70,OMN,Oman,Oman,106.127,OMN.NGDPD.A,2025,2025-09-12T00:00:00,2026-04-14T13:00:00Z
71,HRV,Croatia,"Croatia, Republic of",106.055,HRV.NGDPD.A,2025,2025-09-11T00:00:00,2026-04-14T13:00:00Z
72,CRI,Costa Rica,Costa Rica,102.902,CRI.NGDPD.A,2025,2025-09-18T00:00:00,2026-04-14T13:00:00Z
73,LUX,Luxembourg,Luxembourg,101.1,LUX.NGDPD.A,2024,2025-09-22T00:00:00,2026-04-14T13:00:00Z
74,SRB,Serbia,"Serbia, Republic of",99.953,SRB.NGDPD.A,2025,2025-09-11T00:00:00,2026-04-14T13:00:00Z
75,VEN,Venezuela,"Venezuela, República Bolivariana de",99.661,VEN.NGDPD.A,2018,2025-09-16T00:00:00,2026-04-14T13:00:00Z
76,CIV,Côte d'Ivoire,Côte d'Ivoire,98.885,CIV.NGDPD.A,2024,2025-09-22T00:00:00,2026-04-14T13:00:00Z
77,LTU,Lithuania,"Lithuania, Republic of",94.927,LTU.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
78,COD,Democratic Republic of the Congo,"Congo, Democratic Republic of the",92.833,COD.NGDPD.A,2023,2025-07-15T00:00:00,2026-04-14T13:00:00Z
79,BLR,Belarus,"Belarus, Republic of",92.766,BLR.NGDPD.A,2024,2025-09-25T00:00:00,2026-04-14T13:00:00Z
80,PAN,Panama,Panama,90.463,PAN.NGDPD.A,2025,2025-09-28T00:00:00,2026-04-14T13:00:00Z
